DSL,API,Attempts
"class [public] should beExtendedBy class [(packagename ""specifiedPackage"")];","classes().that().arePublic().should().onlyBeExtendedByClassesThat().resideInAPackage(""specifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
"interface [public] should implement class (haveNameMatching ""myclass"");","interfaces().that().arePublic().should().ImplementClassesThat().haveNameMatching(""myclass"")",1
Trains Failed,Trains Failed,Trains Failed
"class [implement ""typeName""] should beExtendedBy class (haveNameMatching ""className"");","classes().that().implement(""typeName"").should().onlyBeExtendedByClassesThat().haveNameMatching(""className"")",0
"class [implement ""typeName""] should not implement class (match ""className"");","classes().that().implement(""typeName"").should().notImplementClassesThat().haveNameMatching(""className"")",0
"class [public implement ""typeName""] should not beAnnotatedWith ""annotationTypeName"";","classes().that().arePublic().and().implement(""typeName"").should().notBeAnnotatedWith(""annotationTypeName"")",0
"class [implement ""typeName""] should access class [(packagename ""specifiedPackage"")];","classes().that().implement(""typeName"").should().accessClassesThat().resideInAPackage(""specifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
class [public] should not beExtendedBy class [private];,classes().that().arePublic().should().notBeExtendedByClassesThat().arePrivate(),0
class [public] should not access class [private];,classes().that().arePublic().should().notBeAccesseClassesThat().arePrivate(),0
class [final] should not implement class [final];,classes().that().haveModifier(JavaModifier.FINAL).should().notImplementClassesThat().areFinal(),0
class [local] should not dependOn class [local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
Trains Failed,Trains Failed,Trains Failed
class [topLevel] should not implement class[private];,classes().that().areTopLevelClasses().should().notImplementClassesThat().arePrivate(),0
"class [protected] should implement class [private (packagename ""specifiedPackage"")];","classes().that().areProtected().should().ImplementClassesThat().arePrivate().andShould().ImplementClassesThat().resideInAPackage(""specifiedPackage"")",0
"class [public] should access class [static (classname ""."")];","classes().that().arePublic().should().accessClassesThat().areStatic().andShould().accessClassesThat().haveNameMatching(""."")",0
class [protected] should not implement class [private];,classes().that().areProtected().should().notImplementClassesThat().arePrivate(),0
class [packagePrivate] should not access method [private];,classes().that().arePackagePrivate().should().notBeAccesseMethodsThat().arePrivate(),0
"class [public] should haveNameMatching(""classname"");","classes().that().arePublic().should().haveNameMatching(""classname"")",0
"class [public] should not beAssignableTo(""specifiedType"");","classes().that().arePublic().should().notBeAssignableTo(""specifiedType"")",0
"class [public] should not haveParameterTypes(""typeName"");","classes().that().arePublic().should().no such no operator(""typeName"")",0
"class [public] should not haveFullNameMatching(""specified regex"");","classes().that().arePublic().should().haveFullNameNotMatching(""specified regex"")",0
"class [public] should haveRawReturnType(""typeName"");","classes().that().arePublic().should().haveRawReturnType(""typeName"")",0
"class [public] should haveNameMatching(""specified_regex"");","classes().that().arePublic().should().haveNameMatching(""specified_regex"")",0
"class [public] should not haveNameEndingWith(""regex"");","classes().that().arePublic().should().haveNameNotEndingWith(""regex"")",1
"class [private] should haveNameStartingWith(""specified_regex"");","classes().that().arePrivate().should().haveNameStartingWith(""specified_regex"")",0
"class [protected] should declareThrowableOfType(""specifiedType"");","classes().that().areProtected().should().declareThrowableOfType(""specifiedType"")",0
"class [packagePrivate] should not beAnnotatedWith(""specified annotation type"");","classes().that().arePackagePrivate().should().notBeAnnotatedWith(""specified annotation type"")",0
class [static] should BePublic;,classes().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
class [anonymous] should BePublic;,classes().that().areAnonymousClasses().should().bePublic(),0
class [public] should BeProtected;,classes().that().arePublic().should().beProtected(),0
class [public] should BeAbstract;,classes().that().arePublic().should().beAbstract(),0
class [anonymous] should BeEnums;,classes().that().areAnonymousClasses().should().beEnums(),0
"codeUnit [public] should declaredIn class [(packagename ""specifiedPackage"")];","codeUnits().that().arePublic().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"codeUnit [private] should declaredIn class(implement ""specifiedType"");","codeUnits().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
"codeUnit [protected] should declaredIn class [(packagename ""specifiedPackage"")];","codeUnits().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"codeUnit [private] should not declaredIn class [(packagename ""specifiedPackage"")] ;","codeUnits().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"codeUnit [packagePrivate] should declaredIn class [(packagename ""specifiedPackage"")];","codeUnits().that().arePackagePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [private] should not declaredIn class [(packagename ""specifiedPackage"")];","codeUnits().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"codeUnit [public (packagename ""specifiedPackage"")] should declaredIn class [(packagename ""anotherSpecifiedPackage"")];","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
codeUnit [public] should declaredIn class[public];,codeUnits().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
codeUnit [private] should declaredIn class[static];,codeUnits().that().arePrivate().should().beDeclaredInClassesThat().areStatic(),0
codeUnit [protected] should declaredIn class [protected];,codeUnits().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
codeUnit [private] should not declaredIn class[packagePrivate];,codeUnits().that().arePrivate().should().notBeDeclaredInClassesThat().arePackagePrivate(),0
codeUnit [packagePrivate] should declaredIn class[final];,codeUnits().that().arePackagePrivate().should().beDeclaredInClassesThat().areFinal(),0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [private] should not declaredIn class [(packagename ""specifiedPackage"")];","codeUnits().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"codeUnit [public (packagename ""specifiedPackage"")] should declaredIn class [public (packagename ""anotherSpecifiedPackage"")];","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [private] should beAnnotatedWith(""specifiedAnnotationType"");","codeUnits().that().arePrivate().should().beAnnotatedWith(""specifiedAnnotationType"")",0
"codeUnit [protected] should haveFullNameMatching(""specified_regex"");","codeUnits().that().areProtected().should().haveFullNameMatching(""specified_regex"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [packagePrivate] should haveNameMatching(""specified regex"");","codeUnits().that().arePackagePrivate().should().haveNameMatching(""specified regex"")",0
"codeUnit [public] should haveNameEndingWith(""specifiedRegex"");","codeUnits().that().arePublic().should().haveNameEndingWith(""specifiedRegex"")",0
"codeUnit [private] should not declaredIn class [(packagename ""specifiedPackage"")];","codeUnits().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"codeUnit [public] should haveNameStartingWith(""specified_regex"");","codeUnits().that().arePublic().should().haveNameStartingWith(""specified_regex"")",0
"codeUnit [public] should haveRawReturnType(""specifiedType"");","codeUnits().that().arePublic().should().haveRawReturnType(""specifiedType"")",0
"codeUnit [private] should haveRawParameterTypes(""specifiedType"");","codeUnits().that().arePrivate().should().haveRawParameterTypes(""specifiedType"")",0
"codeUnit [private] should declareThrowableOfType(""specifiedType"");","codeUnits().that().arePrivate().should().declareThrowableOfType(""specifiedType"")",0
"codeUnit [static (packagename ""specifiedPackage"")] should BePublic;","codeUnits().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePublic()",0
"codeUnit [final (packagename ""specifiedPackage"")] should BePrivate;","codeUnits().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePrivate()",0
"codeUnit [private (packagename ""specifiedPackage"")] should BeProtected;","codeUnits().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beProtected()",0
