1,classes that are top level classes should access classes that are protected,Method <packageIdentifier.InvalidAccess.doCall()> calls method <packageIdentifier.NonPublicClass.sayHi()> in (InvalidAccess.java:6),)> calls method <packageIdentifier.NonPublicClass.sayHi()> in (InvalidAccess.java,MEDIUM
2,classes that are top level classes should access classes that are protected,Method <packageIdentifier.InvalidAccess.doCall()> calls constructor <packageIdentifier.NonPublicClass.<init>()> in (InvalidAccess.java:5),)> calls constructor <packageIdentifier.NonPublicClass.<init>()> in (InvalidAccess.java,MEDIUM
3,classes that are top level classes should access classes that are protected,Constructor <packageIdentifier.InvalidAccess.<init>()> calls constructor <java.lang.Object.<init>()> in (InvalidAccess.java:3),)> calls constructor <java.lang.Object.<init>()> in (InvalidAccess.java,MEDIUM
4,classes that are top level classes should access classes that are protected,Method <packageIdentifier.NonPublicClass.sayHi()> gets field <java.lang.System.out> in (NonPublicClass.java:6),)> gets field <java.lang.System.out> in (NonPublicClass.java,MEDIUM
5,classes that are top level classes should access classes that are protected,Method <packageIdentifier.NonPublicClass.sayHi()> calls method <java.io.PrintStream.println(java.lang.String)> in (NonPublicClass.java:6),)> calls method <java.io.PrintStream.println(java.lang.String)> in (NonPublicClass.java,MEDIUM
6,classes that are top level classes should access classes that are protected,Constructor <packageIdentifier.NonPublicClass.<init>()> calls constructor <java.lang.Object.<init>()> in (NonPublicClass.java:4),)> calls constructor <java.lang.Object.<init>()> in (NonPublicClass.java,MEDIUM
7,classes that are top level classes should access classes that are protected,Method <packageIdentifier.PublicClass.sayHello()> gets field <java.lang.System.out> in (PublicClass.java:5),)> gets field <java.lang.System.out> in (PublicClass.java,MEDIUM
8,classes that are top level classes should access classes that are protected,Method <packageIdentifier.PublicClass.sayHello()> calls method <java.io.PrintStream.println(java.lang.String)> in (PublicClass.java:5),)> calls method <java.io.PrintStream.println(java.lang.String)> in (PublicClass.java,MEDIUM
9,classes that are top level classes should access classes that are protected,Constructor <packageIdentifier.PublicClass.<init>()> calls constructor <java.lang.Object.<init>()> in (PublicClass.java:3),)> calls constructor <java.lang.Object.<init>()> in (PublicClass.java,MEDIUM
10,classes that are top level classes should access classes that are protected,Method <packageIdentifier.ValidAccess.doCall()> calls method <packageIdentifier.PublicClass.sayHello()> in (ValidAccess.java:6),)> calls method <packageIdentifier.PublicClass.sayHello()> in (ValidAccess.java,MEDIUM
11,classes that are top level classes should access classes that are protected,Method <packageIdentifier.ValidAccess.doCall()> calls constructor <packageIdentifier.PublicClass.<init>()> in (ValidAccess.java:5),)> calls constructor <packageIdentifier.PublicClass.<init>()> in (ValidAccess.java,MEDIUM
12,classes that are top level classes should access classes that are protected,Constructor <packageIdentifier.ValidAccess.<init>()> calls constructor <java.lang.Object.<init>()> in (ValidAccess.java:3),)> calls constructor <java.lang.Object.<init>()> in (ValidAccess.java,MEDIUM
